,A,actions,delta_shares,quantity,delta_vt,total_reward,total_profit,portfolio_value,nav,cash
4610,43.819433365339066,4,0,-1000,-63.38276041251589,5031.353203522058,5993.784946415522,55993.78494641552,-43882.81612575158,99876.6010721671
4611,43.88281612575158,4,0,-1000,-102.22845780491241,4928.602212837887,5891.556488610608,55891.55648861061,-43985.0445835565,99876.6010721671
4612,43.985044583556494,4,0,-1000,27.3120428171012,4955.876958270846,5918.86853142771,55918.86853142771,-43957.732540739395,99876.6010721671
4613,43.95773254073939,4,0,-1000,-11.616390627779083,4944.253820616506,5907.25214079993,55907.25214079993,-43969.348931367174,99876.6010721671
4614,43.96934893136717,4,0,-1000,-13.90658126686617,4930.337569699514,5893.345559533067,55893.34555953307,-43983.25551263404,99876.6010721671
4615,43.98325551263404,4,0,-1000,51.242283463821536,4981.448564582606,5944.587842996887,55944.58784299689,-43932.01322917022,99876.6010721671
4616,43.93201322917022,4,0,-1000,-27.902523663527745,4953.507113377739,5916.685319333359,55916.68531933336,-43959.915752833746,99876.6010721671
4617,43.959915752833744,4,0,-1000,70.88587116954415,5024.14174421071,5987.571190502902,55987.5711905029,-43889.0298816642,99876.6010721671
4618,43.8890298816642,4,0,-1000,-6.5061404053281535,5017.633487312233,5981.065050097575,55981.065050097575,-43895.53602206953,99876.6010721671
4619,43.89553602206953,4,0,-1000,16.53173114396367,5034.151553549466,5997.59678124154,55997.59678124154,-43879.004290925564,99876.6010721671
4620,43.879004290925565,4,0,-1000,-26.821931182389847,5007.293651567459,5970.774850059148,55970.77485005915,-43905.82622210796,99876.6010721671
4621,43.905826222107954,4,0,-1000,83.88670679784127,5090.8285093864315,6054.6615568569905,56054.66155685699,-43821.939515310114,99876.6010721671
4622,43.82193951531011,4,0,-1000,32.12193186570289,5122.898850326796,6086.783488722693,56086.78348872269,-43789.81758344441,99876.6010721671
4623,43.78981758344441,4,0,-1000,-116.93613319459928,5005.279014169871,5969.847355528094,55969.847355528094,-43906.75371663901,99876.6010721671
4624,43.90675371663901,4,0,-1000,8.213983519453905,5013.489624213062,5978.061339047548,55978.06133904755,-43898.539733119556,99876.6010721671
4625,43.898539733119556,4,0,-1000,-4.389077215876114,5009.099583797245,5973.672261831671,55973.67226183167,-43902.928810335434,99876.6010721671
4626,43.90292881033543,4,0,-1000,41.39403279178566,5050.407943291492,6015.066294623459,56015.06629462346,-43861.534777543646,99876.6010721671
4627,43.861534777543646,4,0,-1000,-2.9736901751888922,5047.43381097464,6012.092604448269,56012.09260444827,-43864.508467718835,99876.6010721671
4628,43.864508467718835,4,0,-1000,-23.72395963135432,5023.681710030257,5988.368644816917,55988.36864481692,-43888.23242735019,99876.6010721671
4629,43.88823242735019,4,0,-1000,29.348116669787316,5052.986761102441,6017.716761486699,56017.7167614867,-43858.884310680405,99876.6010721671
4630,43.8588843106804,4,0,-1000,15.312973684373787,5068.288010428662,6033.029735171076,56033.029735171076,-43843.57133699603,99876.6010721671
4631,43.84357133699603,4,0,-1000,10.160155541996119,5078.443004532626,6043.189890713074,56043.189890713074,-43833.41118145403,99876.6010721671
4632,43.83341118145403,4,0,-1000,-18.49631956391562,5059.92957927684,6024.693571149153,56024.69357114915,-43851.90750101795,99876.6010721671
4633,43.85190750101795,4,0,-1000,-70.32499908974899,4989.3572999122425,5954.368572059408,55954.36857205941,-43922.2325001077,99876.6010721671
4634,43.9222325001077,4,0,-1000,41.3975218543996,5030.669134025858,5995.766093913808,55995.76609391381,-43880.8349782533,99876.6010721671
4635,43.8808349782533,4,0,-1000,-50.203465783070556,4980.339648843956,5945.562628130734,55945.562628130734,-43931.03844403637,99876.6010721671
4636,43.93103844403637,4,0,-1000,-50.17399025022229,4930.039787128852,5895.388637880518,55895.38863788052,-43981.212434286586,99876.6010721671
4637,43.98121243428659,4,0,-1000,-16.009367251712092,4914.01760488515,5879.3792706288,55879.3792706288,-43997.221801538304,99876.6010721671
4638,43.9972218015383,4,0,-1000,-67.50878000832472,4846.280953107915,5811.87049062048,55811.87049062048,-44064.730581546624,99876.6010721671
4639,44.06473058154663,4,0,-1000,-6.328386171908562,4839.950564512429,5805.54210444857,55805.54210444857,-44071.058967718534,99876.6010721671
4640,44.071058967718535,4,0,-1000,-6.874415785830479,4833.073785846978,5798.667688662739,55798.66768866274,-44077.933383504365,99876.6010721671
4641,44.077933383504366,4,0,-1000,10.66299772822532,4843.731098599176,5809.3306863909675,55809.33068639097,-44067.27038577614,99876.6010721671
4642,44.06727038577614,4,0,-1000,16.69150099686334,4860.408669285763,5826.022187387825,55826.022187387825,-44050.57888477928,99876.6010721671
4643,44.05057888477928,4,0,-1000,12.956577122359647,4873.356852763586,5838.97876451019,55838.97876451019,-44037.622307656915,99876.6010721671
4644,44.03762230765692,4,0,-1000,115.58075748880725,4988.269664677309,5954.559521998992,55954.55952199899,-43922.04155016811,99876.6010721671
4645,43.92204155016811,4,0,-1000,-37.459364027668585,4950.740140451972,5917.100157971327,55917.10015797133,-43959.50091419578,99876.6010721671
4646,43.95950091419578,4,0,-1000,19.872379094984183,4970.592773974412,5936.972537066307,55936.97253706631,-43939.6285351008,99876.6010721671
4647,43.939628535100795,4,0,-1000,91.02227399674945,5061.200795252985,6027.994811063058,56027.99481106306,-43848.60626110405,99876.6010721671
4648,43.848606261104045,4,0,-1000,-60.371209725687436,5000.64735137911,5967.623601337371,55967.62360133737,-43908.977470829734,99876.6010721671
4649,43.90897747082973,4,0,-1000,60.377391568778194,5060.8424714772555,6028.000992906149,56028.00099290615,-43848.600079260956,99876.6010721671
4650,43.848600079260954,4,0,-1000,-53.48967219670442,5007.209742028966,5974.511320709447,55974.51132070945,-43902.08975145766,99876.6010721671
4651,43.90208975145766,4,0,-1000,45.85801748096685,5052.962611621569,6020.369338190416,56020.369338190416,-43856.23173397669,99876.6010721671
4652,43.85623173397669,4,0,-1000,-59.67135085354869,4993.113227262385,5960.697987336862,55960.69798733686,-43915.90308483024,99876.6010721671
4653,43.91590308483024,4,0,-1000,-118.2505355996355,4874.16353220427,5842.447451737229,55842.44745173723,-44034.153620429875,99876.6010721671
4654,44.034153620429876,4,0,-1000,99.06235419908427,4972.735218902381,5941.509805936315,55941.509805936315,-43935.09126623079,99876.6010721671
4655,43.93509126623079,4,0,-1000,15.681186642289902,4988.404110563945,5957.190992578602,55957.1909925786,-43919.4100795885,99876.6010721671
4656,43.9194100795885,4,0,-1000,-59.62625127077814,4928.600094801137,5897.564741307826,55897.564741307826,-43979.03633085928,99876.6010721671
4657,43.97903633085928,4,0,-1000,-17.55518658954003,4911.029498982787,5880.009554718286,55880.00955471829,-43996.59151744882,99876.6010721671
4658,43.99659151744882,4,0,-1000,-17.686659705901775,4893.327198380308,5862.322895012381,55862.32289501238,-44014.27817715472,99876.6010721671
4659,44.01427817715472,4,0,-1000,-57.18420205366215,4835.97949467842,5805.138692958717,55805.13869295872,-44071.46237920839,99876.6010721671
4660,44.071462379208384,4,0,-1000,48.98472534578957,4884.84424485835,5854.123418304509,55854.12341830451,-44022.477653862596,99876.6010721671
4661,44.022477653862595,4,0,-1000,79.65023848030484,4964.177275314157,5933.7736567848115,55933.77365678481,-43942.82741538229,99876.6010721671
4662,43.94282741538229,4,0,-1000,44.17921805222136,5008.258903200993,5977.952874837036,55977.952874837036,-43898.64819733007,99876.6010721671
4663,43.89864819733007,4,0,-1000,-83.02533072811258,4924.8889121957545,5894.927544108927,55894.92754410893,-43981.67352805818,99876.6010721671
4664,43.98167352805818,4,0,-1000,47.332047784152564,4972.108943842535,5942.259591893075,55942.259591893075,-43934.34148027403,99876.6010721671
4665,43.93434148027403,4,0,-1000,95.10889827082991,5066.76555698685,6037.368490163906,56037.368490163906,-43839.2325820032,99876.6010721671
4666,43.8392325820032,4,0,-1000,-71.9359390798715,4994.570878940413,5965.432551084035,55965.432551084035,-43911.16852108307,99876.6010721671
4667,43.91116852108307,4,0,-1000,31.6364127050619,5026.157248515033,5997.068963789097,55997.0689637891,-43879.53210837801,99876.6010721671
4668,43.87953210837801,4,0,-1000,27.695266381464023,5053.8141635075,6024.764230170564,56024.764230170564,-43851.83684199654,99876.6010721671
4669,43.851836841996544,4,0,-1000,86.19664857429399,5139.639318970522,6110.960878744852,56110.96087874485,-43765.64019342225,99876.6010721671
4670,43.76564019342225,4,0,-1000,-33.0014378036978,5106.583426421969,6077.959440941158,56077.95944094116,-43798.641631225946,99876.6010721671
4671,43.79864163122595,4,0,-1000,-35.35475207350913,5071.1661764237515,6042.60468886765,56042.60468886765,-43833.996383299454,99876.6010721671
4672,43.83399638329946,4,0,-1000,33.949527423679626,5105.058075326817,6076.554216291326,56076.554216291326,-43800.04685587578,99876.6010721671
4673,43.80004685587578,4,0,-1000,73.71901446088458,5178.505365133047,6150.273230752209,56150.27323075221,-43726.327841414895,99876.6010721671
4674,43.72632784141489,4,0,-1000,116.68424610705586,5294.508850575625,6266.957476859265,56266.957476859265,-43609.64359530784,99876.6010721671
